AutoDetailID,PolicyID,VehicleMake,VehicleModel,VehicleYear,VIN,LicensePlate,DriverLicenseNumber,Mileage,UsageType,GarageAddress,SafetyFeatures
63,180,Mercedes,Up,2011,0GFBA8C138ZGWFJ0W,0W-TMUT,,50324,Personal,,
64,184,Nissan,Compare,2017,K8OXDAC3DDAHFHRUI,RD 5727,,44877,Commercial,,
65,185,Mercedes,Bar,2022,NS8I658CZTV6KGWO3,II 9480,,43692,Commercial,,
66,186,Nissan,Year,2014,D4UKBTQMUA2BKW342,86I EK5,,129187,Personal,,
67,187,Chevrolet,Yourself,2018,8B3384RYTZ48WVT8P,312 NAG,,103510,Commercial,,
68,189,Chevrolet,When,2025,ER7QZ2AR0NCEZLEUH,056588,,62100,Commercial,,
69,191,Kia,Also,2016,VIUE4G8RETZQ9O386,DVR1789,,27352,Commercial,,
70,193,Honda,War,2020,FC7HGVFUMX7B96HIJ,5ANF320,,98482,Personal,,
71,194,BMW,Last,2014,JGOS0OQNKL8E88Q9Y,45E•021,,104418,Personal,,
72,195,Chevrolet,Much,2022,CQ1FSF21CQ1RAKCDT,4B T2170,,139948,Personal,,
73,196,Ford,Such,2013,1MC54BLIQ6H36791N,UQQ 696,,20122,Commercial,,
74,200,Chevrolet,Talk,2010,V115B1M355OLR5L39,0KF 216,,13774,Commercial,,
75,201,Volkswagen,Mouth,2017,E2PFX7GOP9DUNJ3I9,FNO 931,,83935,Personal,,
76,204,Ford,Say,2015,1U8BAFGEV0HMTC7AY,8-00834R,,33315,Personal,,
77,206,Nissan,Cover,2014,AIS7OS4JY67NSXOE8,2CWS 07,,133276,Commercial,,
78,209,Toyota,Whom,2017,UZ00MLTBD97F6D1VK,156E8,,134354,Personal,,
79,210,Kia,Program,2025,TCF7BM2VZMH30Y6P2,21O 8166,,105742,Personal,,
80,212,BMW,Door,2016,32F7Q6L874CPIOVX6,WK 34893,,111901,Personal,,
81,215,Kia,Participant,2021,W8R93SPIUMJGDIE8L,FS-7175,,100347,Commercial,,
82,217,Chevrolet,Our,2023,X69S59C8B13RDXCRO,QP8 5163,,149520,Commercial,,
83,219,BMW,Response,2023,S1ZRF9AX8Z30O78V9,2TJ9275,,110303,Personal,,
84,223,Chevrolet,Public,2012,EVPCMASZ0HHG7V3JB,J51-14E,,103784,Personal,,
85,226,BMW,Artist,2021,4T341Y96D4ZIIY9YO,6UEH 58,,76841,Commercial,,
86,229,Chevrolet,Page,2024,FDWHC9WBNYE68S30L,451 GKU,,146014,Personal,,
87,230,Ford,Cold,2020,06MTMXZAUPGB28TBH,9MHS 16,,147235,Personal,,
88,232,BMW,First,2021,79DRX2OLT57HEZAUI,XP-9788,,7407,Commercial,,
89,233,Toyota,Eat,2014,5JMVUA1X3T19RHORJ,XNO-0332,,9019,Personal,,
90,238,Toyota,Seven,2019,GKUFB5ST94X8O3JAR,3710,,143706,Commercial,,
91,240,Ford,Cultural,2019,VVHZ0S5S4KTTHXWMN,0SP 753,,143330,Commercial,,
92,245,Mercedes,Chance,2017,W649RZEYVGOACMH37,9HS 141,,82083,Commercial,,
93,250,Mercedes,Serve,2020,1I0T0C22QXXELZZEL,MRB 520,,107225,Personal,,
94,251,Toyota,They,2024,41223HLJ9H25WISQO,9873,,52160,Commercial,,
95,252,Hyundai,Month,2021,BCEKZ3PYKFHHVI00B,85H S94,,41787,Personal,,
96,256,Toyota,Area,2020,JEOJR961I33PS8X5J,0O HV251,,21641,Personal,,
97,257,Ford,Somebody,2012,FJ38QZJ08LZNVLF1C,758QWW,,113611,Personal,,
98,265,Mercedes,Many,2023,7DFEQ9S0YN08Y214F,UYG 207,,76583,Personal,,
99,266,Toyota,Side,2011,NQ3CJ2QCUGVK8EVM8,XRD 855,,20617,Personal,,
100,268,Hyundai,Reveal,2011,3FN5TEJ6X8URDQVAO,24-ET79,,30504,Commercial,,
101,274,BMW,Home,2018,5KJE5JI3GHNYVTVCX,27N R19,,141496,Commercial,,
102,275,Kia,Economy,2017,04CMLMLKLZ89DLYFX,062D3,,22742,Personal,,
103,278,Chevrolet,Company,2017,WIU467TI6ABI6CEP6,5UF 190,,44751,Personal,,
104,282,BMW,Beat,2013,JCRLNJ1O2J2KOW96V,025 4132,,65095,Personal,,
105,283,Hyundai,Might,2012,A6UYP6PQQ08D3UHDD,WGP0931,,145652,Personal,,
106,284,Hyundai,Sound,2010,CSKPORT7U3HAJ5BZ1,993-XQD,,55770,Commercial,,
107,286,Chevrolet,Black,2013,MYD3K9BV2KVLPD4KR,LK-4831,,27014,Commercial,,
108,287,Toyota,Spend,2011,IJPM369UVKIV5BJET,1DB G67,,126772,Personal,,
109,296,Volkswagen,Region,2018,J9HSJLGOSGC9WF02X,193 3476,,100890,Personal,,
110,298,Nissan,Food,2023,2ODQ4EMXBCEJ5MU4N,VIR-0581,,89855,Personal,,
111,299,Kia,Candidate,2019,WVVQIMULC3URS40E6,DHC 275,,136600,Personal,,
112,306,Kia,Eight,2013,AQJBNN3X0KP5S1R9V,NBO-9412,,33337,Commercial,,
113,307,Ford,Defense,2017,SN9T2PG6VKZ77C8NP,HFK 746,,42873,Personal,,
114,313,Hyundai,New,2021,EV9TSXFUHEFXFGGKR,LWC 650,,19064,Personal,,
115,315,Honda,Instead,2015,3NQ4KD99T1BVHW09Q,97I 1715,,148341,Personal,,
116,316,Toyota,Note,2024,OFE192EVH548O1O33,6K-BQHR,,29231,Personal,,
117,323,Mercedes,Hope,2013,50UL6N8LJQRTVR0SW,9Z 6P2SMC,,39936,Commercial,,
118,324,Volkswagen,Free,2019,S8UHACWM5RYY1JT5F,TX 9955,,126222,Personal,,
119,325,Honda,Oil,2024,ASEOBPTRRJH5RO3AH,56DC4,,142375,Commercial,,
120,326,Hyundai,Dark,2016,VAB2SMVZC27S01B6U,323 MMF,,132713,Commercial,,
121,327,BMW,Exist,2020,TAYUNPWUBLZ6ITVU6,HDW 922,,133058,Personal,,
122,330,Chevrolet,Area,2011,Q4OK5R40Z8FWDPEE3,IEL-3493,,32636,Personal,,
123,339,Kia,Several,2024,8KPR1UV1Z28IAOY08,BKG 797,,72284,Personal,,
124,340,Hyundai,Throw,2020,MTVDWTG7PWZWPOWG5,4336 VA,,106813,Personal,,
125,342,Ford,Movie,2023,KOY1AQ4NNQLU489XB,NM7 E6Z,,127038,Personal,,
126,345,Hyundai,And,2017,TNUPLI4F1PE06ISIL,506 NKP,,139400,Commercial,,
127,346,Volkswagen,Continue,2025,PUI203OXIAUO5GUX2,63R O65,,146843,Personal,,
128,348,Ford,Agree,2021,CN3D4L112JEYGHIN9,669 XSR,,24584,Commercial,,
129,350,Chevrolet,Risk,2022,W0O32PHNXCK572BW4,5IQ 519,,51225,Personal,,
130,357,BMW,Hear,2016,3SWSGK1Q6LBIFH1WW,MRP 384,,80400,Commercial,,
131,358,Chevrolet,Charge,2014,352ZDQZF30K9LCOF8,54-D530,,13748,Personal,,
132,359,Toyota,Action,2016,ZBCH0YPKU2NSL3Y4I,7W H4756,,25842,Commercial,,
133,364,Hyundai,With,2014,SCBD4JPDZU7VU572B,RO9 5483,,59496,Personal,,
134,368,Ford,Party,2019,G8A19XNQJP1OLBNSW,QN 0567,,65140,Personal,,
135,370,Honda,Third,2022,KJI1V3DK4DSOIG4K8,100-GJB,,29283,Commercial,,
136,371,Honda,Phone,2015,6N05LADMKWKNT2F2Z,OG 0640,,29766,Personal,,
137,375,Ford,Describe,2020,MERRN5RJ11ZCCR77N,72L CF6,,36097,Personal,,
138,376,Mercedes,Could,2021,RBD2E0117247ARNHY,046 HTJ,,71570,Personal,,
139,381,Hyundai,Young,2011,CT6D8T6ICQWKU8IBF,KP 5368,,42682,Personal,,
140,382,Honda,Our,2017,AWYG4F534WDUUJOAH,MSB 875,,121301,Personal,,
141,383,BMW,Before,2013,IYS1TXFSG3GMLLTWO,493-702,,44011,Commercial,,
142,384,Ford,Those,2024,J4UPQP6PYE0KZEH7U,7GEU 28,,72261,Personal,,
143,388,Volkswagen,None,2012,BVM62P09PMILM3M46,750 HVG,,94831,Personal,,
144,397,Ford,Level,2017,97HS6M5IZPTHJ4BRC,LWP 470,,133875,Commercial,,
145,399,Ford,Likely,2025,PZNF7JBCX4B1SF2QH,TGU-611,,77015,Personal,,
146,400,Chevrolet,Not,2019,53S2DNXQ5QETK0DWA,8-5938Z,,45636,Commercial,,
147,405,Hyundai,Whom,2018,CSLGTEEJNLYX60GV4,LYF-2819,,137093,Commercial,,
148,407,BMW,Body,2020,6KSDSHVN890L98WGW,567O9,,51613,Commercial,,
149,409,Ford,Lawyer,2024,TS8IKGVDT7ZY553XE,K 323483,,41321,Personal,,
150,410,Ford,Believe,2020,OCZF6TEVGEOZD5KY7,115 SXU,,58274,Personal,,
151,411,Kia,Race,2022,UD3W7K088YZ7H1ET1,8U T0396,,139142,Commercial,,
152,412,BMW,Ten,2023,08ZG2YQSD8B5PHPY4,6L-EOOB,,132475,Commercial,,
153,413,Kia,Hundred,2012,AL0YGLLIZOKM2H216,3PP1808,,129937,Personal,,
154,415,Toyota,Glass,2017,PYS4GA5BVZN90PA9B,ONK 259,,86508,Personal,,
155,417,Toyota,Force,2019,HV8WKFKV6PE63GLZF,8VW3811,,125353,Personal,,
156,420,Honda,Firm,2013,YGK9QXTJATJX2QDXZ,005-XVF,,30194,Commercial,,
157,428,Nissan,Keep,2015,2GDAJ0UL7CZY28R04,PU 0549,,28979,Personal,,
158,429,Hyundai,Across,2010,0ZPZ2BZAS4WNI6BBW,NKM-6955,,12879,Commercial,,
159,430,Mercedes,Might,2010,JOZO92A4BHE67Y5X9,PUC 698,,16352,Personal,,
160,436,Ford,Manager,2019,X599WG94GRRI84XRR,110 5EM,,65193,Commercial,,
161,437,Volkswagen,Talk,2018,FJRTMLTBO38PN0YAT,0PE X43,,41514,Commercial,,
162,441,BMW,Population,2023,GFEUL6HJXHT0GK7TZ,8G 0787J,,77591,Commercial,,
163,443,Mercedes,Culture,2024,R4SMUJLVF9Q3POBKD,JBQ-446,,68984,Commercial,,
164,446,Nissan,Wall,2023,C7Q9GBJNJEBFEPUZO,95H 738,,98150,Personal,,
165,451,Kia,Enjoy,2023,RJL57GD630E3KSGBZ,576-PLRE,,80450,Commercial,,
166,453,Kia,Above,2013,IS8MZG7W0A51BX5D9,Q06 4PJ,,134209,Commercial,,
167,456,Toyota,Mind,2010,PGABF5RV4CP8AB8H8,ZLH-3104,,114890,Commercial,,
168,464,Ford,Music,2019,YXSX16KO9U71J98Y6,L55 4BQ,,64315,Commercial,,
169,467,Mercedes,Successful,2017,OPCVC5WKR97PYXVDQ,303 1002,,45748,Commercial,,
170,470,Nissan,Floor,2021,X620NQLH8J4TRR7AE,031 BD2,,146496,Commercial,,
171,471,Volkswagen,Everything,2019,RMFWL24MSGB4VJ1EJ,SR3 Y1V,,82149,Personal,,
172,476,Honda,Often,2020,L5ZOLTCY1EWSODLSY,188-RED,,102143,Personal,,
173,479,Kia,Anyone,2017,GRN0V3VHDRZ9VMR0L,3S461,,34352,Commercial,,
174,484,Toyota,Blood,2013,AOFZY0D8TWLH25V4Z,759 DKN,,138332,Commercial,,
175,487,Mercedes,Career,2010,O62JM8E0STVV0TZ4L,4YV 621,,118039,Commercial,,
176,493,Hyundai,Represent,2011,MZHQM4GSSLQR4LLER,IJJ 5497,,33855,Personal,,
177,494,Hyundai,Born,2018,9YP2WJ6GV5T4LCK0X,28I IG7,,30672,Commercial,,
178,495,Nissan,Group,2017,LNB3N6CS9URKVMG67,53-2198F,,108699,Commercial,,
179,497,Toyota,Party,2020,X11SY29Q08GZBF5VM,44O-XUQB,,115938,Commercial,,
180,499,Kia,Between,2014,DIQ0CFC7H47FJXUNK,0-9304G,,107732,Commercial,,
181,507,Nissan,Organization,2010,8AQN1VS73XM4NXC58,FXE-9628,,126391,Personal,,
182,509,Ford,Develop,2015,FPA1MR330AFQF9HGF,84B 977,,107285,Personal,,
183,510,Kia,However,2023,W4O2SINU0JS7HIU3F,19-H398,,76234,Commercial,,
184,511,Kia,Anyone,2014,95NUUQ3QNRK0D65T6,9-47929,,90578,Personal,,
185,512,Kia,Trade,2021,DCNATY11B1KN3BMGE,6YU 022,,141443,Commercial,,
186,518,Hyundai,Discover,2015,924B0IEHOZID3ND5J,VEL-460,,63534,Personal,,
187,528,Kia,Space,2016,J81OFU0S5SGUPU19F,7492 WA,,141450,Commercial,,
188,531,Ford,Fund,2014,9MG19C31DGBL15MEV,Z36 0SM,,135583,Commercial,,
189,538,Kia,Great,2012,R213N31RBAKNV1IQ2,527XQ,,78664,Commercial,,
190,543,Honda,Development,2016,VR3TQKBL2461A5VKD,814A2,,129184,Personal,,
191,544,Volkswagen,Art,2013,VGJ1P3W1YAU1JTHVO,1LY A79,,103612,Commercial,,
192,545,Volkswagen,Decide,2021,HMEMY5M65PVK4N5U9,496FFD,,25874,Commercial,,
193,546,Hyundai,Kid,2022,DC3533ZDRFIADKM3H,WKO-568,,101435,Personal,,
194,547,Hyundai,Available,2014,V8KBK85OVAICR70CP,6A 2601T,,59768,Personal,,
195,549,Chevrolet,Prevent,2014,PSJIBJ556660YB7P3,ONN-921,,102232,Personal,,
196,550,Hyundai,Young,2014,JT6KXBIYP264NREXW,659 CSK,,116618,Personal,,
197,554,BMW,President,2011,DONJJA0T4S9H2VDVC,538 7858,,39692,Commercial,,
198,556,BMW,Window,2019,ELV0IRKAKTEAZFUAO,024 UIQ,,68972,Personal,,
199,557,Hyundai,Growth,2020,UIUEA5BF0381PE4YV,50B 0465,,124220,Commercial,,
200,561,Mercedes,Compare,2011,JOCVYF9ZTWJZSG5WH,756 JDE,,137716,Personal,,
201,565,Hyundai,Left,2010,64WBTLGSKF2BJDQDC,IT6 R6A,,27177,Commercial,,
202,566,Nissan,Capital,2012,JM0U5KAKVDDXXM2LD,ZWP 091,,53561,Commercial,,
203,568,Mercedes,Kitchen,2013,YYZEUY1DLH8IGOTWV,384 XQV,,144531,Commercial,,
204,570,Hyundai,Almost,2025,SG870RRB2EF60YPID,GAL 370,,140564,Commercial,,
205,574,Nissan,Theory,2016,2BW87W9E1YERSS6K2,904-QGM,,7178,Personal,,
206,579,Volkswagen,Go,2020,32YZI3Z2DQPOVKUHG,296 2ED,,77821,Commercial,,
207,581,Ford,Team,2014,LR373ATTOMQBSZHNH,VGO9179,,43791,Commercial,,
208,585,Kia,Beat,2017,P5BW8YWYZ4KGI1B3J,3-8224P,,42452,Personal,,
209,586,BMW,Memory,2020,1Z4EDHXUFMK7YEYT7,MWB 381,,25843,Personal,,
210,589,Mercedes,Billion,2021,LEN72C4GJGVQFEZYI,45R I39,,130452,Commercial,,
211,590,BMW,Push,2014,2L3K2S1UI6WSM59SK,4-5668S,,61227,Personal,,
212,594,Chevrolet,Every,2010,8W12X8CLNTQV0238V,3D WK538,,64185,Commercial,,
213,596,Toyota,Top,2012,ZLL2TH2IF52Q1QOQ2,0471,,80958,Commercial,,
214,601,Ford,Quickly,2017,PC21UJYOGKWC73RX2,USB 356,,108972,Commercial,,
215,602,Ford,Decide,2021,KXC7DT4BA8CGRJR8R,HSX 621,,113103,Commercial,,
216,607,Chevrolet,Include,2024,96X428RDKNY18Q9SW,065XHN,,13358,Commercial,,
217,610,BMW,Share,2022,0W7MRD8ZPL9FE7FE9,4MC 800,,62882,Personal,,
218,612,Mercedes,Building,2018,Z1DR521FLXP2QIV37,549-VBE,,14050,Commercial,,
219,617,BMW,Draw,2021,KWMU0ATB3VH2JYLVV,6-S4097,,126077,Personal,,
220,625,Mercedes,It,2016,JU8CINKZSIIG7AUSJ,9N 3356Y,,98835,Commercial,,
221,626,Hyundai,Environmental,2018,WEQBKQIPMRHLIILZ4,IRI7946,,61115,Personal,,
222,633,Chevrolet,Her,2019,HGK7MW5UB2XOWHQCX,23R 466,,41044,Personal,,
223,639,BMW,Idea,2020,TXLYSVMQ21ML1M0L8,49Y•832,,80159,Personal,,
224,640,Hyundai,Former,2022,DL9AUP3QOMWKHS6CU,8S 1203D,,128935,Personal,,
225,641,Mercedes,End,2025,D4D3PXL4LUC4B4KSQ,KKR 398,,8347,Personal,,
226,642,Nissan,Half,2011,J9W6RIHZ5O40ZUZQ1,0634,,147103,Personal,,
227,644,Honda,Window,2024,I6PEOTSUJQQ2ZD15Y,5DF3032,,101588,Commercial,,
228,647,Hyundai,Heavy,2011,86S2MTQ4JYJXLIG1R,SX0 2442,,99141,Personal,,
229,649,Ford,Sea,2022,M0HL17BGG2EGSFTO1,985 EQH,,82564,Commercial,,
230,652,BMW,Modern,2024,D1Z7VJMCTV34DKLFV,B76-MDG,,91063,Commercial,,
231,653,Hyundai,Nearly,2024,R1AH44SBSNRWLQGQK,5B 2155J,,41426,Personal,,
232,654,Toyota,Arm,2012,F5OM85O0UJB7U2MBF,9585 VR,,92522,Commercial,,
233,655,Ford,Shake,2017,PUUNKBRZCQY6XQASL,561 2WX,,54724,Commercial,,
234,659,Honda,Floor,2019,85K3FULOVVWHJPK6F,TI 27697,,28493,Commercial,,
235,662,Mercedes,Them,2020,T63ALEVGVMFTRGAV9,5799 KH,,37428,Personal,,
236,663,Honda,Each,2022,HSB6OCJWS0AVKQZI2,642 BKK,,132766,Personal,,
237,667,Mercedes,But,2010,6E77HMP0IP4HOCJ7N,LPQ-533,,55621,Personal,,
238,671,Toyota,Policy,2020,Y3CKVW4TCU2DVDOK3,25W•039,,33295,Commercial,,
239,675,Ford,Begin,2013,LIDCWA6227LKJT9AB,O32 7TA,,9398,Commercial,,
240,682,Hyundai,Leader,2016,W2EXK81IV8WY0CW6T,4LKN 53,,120364,Commercial,,
241,685,Kia,Sell,2017,ISLVEYTH8JQ9PI9YW,923-DDR,,137083,Commercial,,
242,687,Volkswagen,Free,2023,L77UNQ33YCO5O171M,9SX 229,,68058,Personal,,
243,689,Ford,Sense,2017,RR19JZABP73UEGHXM,004 LOF,,125945,Commercial,,
244,693,Hyundai,Together,2024,JE7OGD04UJJVODNSX,J50-91A,,127865,Personal,,
245,698,BMW,Anyone,2022,D7O5C6Q8E4S0SMJE8,77RT490,,113202,Commercial,,
246,702,Volkswagen,Person,2024,AJS9I3BPS7NCD2WK0,7S609,,32790,Personal,,
247,704,BMW,Rather,2021,Z9NHQTACOD1RTVAK3,448-UCP,,22354,Commercial,,
248,705,Hyundai,Three,2024,WR688I1R2NFLV6YWM,92-MG37,,48081,Personal,,
249,706,Chevrolet,Decade,2021,J4DDJ0UNWD8917SBH,7K 0701V,,77362,Personal,,
250,715,BMW,Mrs,2024,JWL99CPM6IESZY50O,MWW 467,,8404,Personal,,
251,722,Kia,Behavior,2018,EY1C4CHTFIGR3SJ9L,912 NWQ,,6010,Personal,,
252,724,Kia,Whose,2020,K5HZIFHM0SH4UZH7J,4K G4381,,74428,Commercial,,
253,725,Kia,Goal,2022,WCXNNNLSFUK74WD2D,SK 1030,,48347,Personal,,
254,727,Honda,Itself,2017,HZMV8VVRSROXJI1LK,HNX-6727,,65192,Commercial,,
255,732,Toyota,Race,2025,M32JOP4BE51BJDTZQ,6VQ N75,,43033,Personal,,
256,733,Toyota,Into,2012,E8CQ8DWJM4Z0ZKL2L,84KA0,,61484,Commercial,,
257,739,BMW,Side,2013,FK3A8SMNIGFDMTUC6,H08-87P,,73587,Commercial,,
258,746,Volkswagen,Challenge,2020,I69M8R7BMDZ9FI2GF,LTP 202,,74104,Personal,,
259,749,Kia,Often,2012,HR8ZWNCIZVE2UDALI,271 JCR,,146985,Commercial,,
260,754,Nissan,Management,2012,Y4AWW6EDRYBC81ZGB,5-28808Q,,49195,Personal,,
261,756,Mercedes,Executive,2010,NYRBW17MHMQ6XEFTV,C63 6PC,,138852,Commercial,,
262,758,Ford,Street,2011,SX6M471C4U9V7QCYP,680-YPS,,14060,Commercial,,
263,759,Ford,Lead,2015,13V5SM3FJX0MFS7TM,238D,,146522,Personal,,
264,760,Kia,Address,2010,R9J44ISRTQ51FO4GB,AOR-6966,,32063,Commercial,,
265,762,Chevrolet,The,2012,V9KF5XGQ722F69BR7,OGW-7929,,66206,Commercial,,
266,763,Toyota,Operation,2011,LZ0EADWJOHHDRM9HN,98F C52,,54665,Commercial,,
267,766,Toyota,Hospital,2020,CP78XESY22F9HC99U,539-580,,146543,Commercial,,
268,768,Toyota,Article,2011,5CTULPPO0NBA5FODR,767 5YJ,,146577,Personal,,
269,771,Kia,In,2021,71CZGZBYUBU4NZIDM,682 YD5,,9090,Commercial,,
270,772,Nissan,Skill,2021,B3ZGGI7LUT60YZ6WX,6RS39,,128085,Commercial,,
271,781,Honda,Herself,2010,EQ0G6EIQTBAOKRNC8,05D S87,,22591,Personal,,
272,782,Honda,Fire,2021,B6WHSYQ9SE2DG2LQE,717 VXF,,115628,Personal,,
273,783,Chevrolet,Nor,2011,PORISWDOF8JHXHXE1,75P QS8,,55037,Commercial,,
274,788,Honda,Expert,2015,SU9VWQXZTA89TLAV4,5-9536R,,58285,Commercial,,
275,793,Toyota,Parent,2014,M36GCN1DYUG5ZDA0Z,BCH-8021,,123211,Commercial,,
276,795,Honda,Store,2022,6T01WK840LR1X5L24,0QIK292,,148860,Personal,,
277,797,Chevrolet,Still,2019,YHHGLZHP0HZJRM6EF,OVO-895,,31931,Personal,,
278,798,Toyota,Environment,2013,79GNTMQN4LFGQN16C,UPX 311,,41999,Personal,,
279,799,Honda,Central,2019,590YCXM18VBMYKQYR,4BA V24,,5132,Personal,,
