EmployeeID,FullName,FirstName,LastName,Email,Gender,DateOfBirth,Age,HireDate,TerminationDate,IsActive,YearsAtCompany,DepartmentID,JobRoleID,LocationID,EducationID,ManagerID
39,Farah Saqr,Farah,Saqr,farah.saqr@icloud.com,Female,1992-07-07,,2018-01-15,,1,,2,2,4,2,
40,Faten Yacoub,Faten,Yacoub,faten.yacoub@yahoo.com,Female,1992-02-07,,2019-08-06,,1,,5,5,1,3,
41,Reda El-Mahdy,Reda,El-Mahdy,reda.el-mahdy@outlook.com,Male,1999-01-28,,2019-05-03,,1,,3,2,4,1,
42,Fouad Zakariya,Fouad,Zakariya,fouad.zakariya@gmail.com,Male,1996-06-18,,2016-02-02,,1,,4,4,4,1,
43,Bakr Elsonbati,Bakr,Elsonbati,bakr.elsonbati@icloud.com,Male,1997-12-20,,2015-02-08,,0,,1,2,4,1,
44,Amal Zaghloul,Amal,Zaghloul,amal.zaghloul@gmail.com,Female,1993-10-19,,2019-11-06,,0,,1,3,2,3,
45,Shady El-Bahnasawy,Shady,El-Bahnasawy,shady.el-bahnasawy@icloud.com,Male,1987-09-10,,2022-08-21,,1,,3,2,1,2,
46,Mostafa Wagih,Mostafa,Wagih,mostafa.wagih@outlook.com,Male,1997-07-09,,2016-01-19,,1,,1,3,3,3,
47,Samy Hafez,Samy,Hafez,samy.hafez@hotmail.com,Male,1992-09-06,,2020-04-21,,1,,1,2,2,3,
48,Sherif Abdelhamid,Sherif,Abdelhamid,sherif.abdelhamid@gmail.com,Male,1985-09-17,,2015-11-12,,1,,2,5,2,2,
49,Faten Zogby,Faten,Zogby,faten.zogby@gmail.com,Female,1989-06-09,,2016-05-16,,0,,5,4,3,1,
50,Hoda Samir,Hoda,Samir,hoda.samir@outlook.com,Female,1993-01-11,,2017-05-14,,1,,5,5,4,2,
51,Sabah Barakat,Sabah,Barakat,sabah.barakat@outlook.com,Female,1991-08-20,,2020-02-22,,1,,5,4,2,2,28.0
52,Fahmy Nakhla,Fahmy,Nakhla,fahmy.nakhla@outlook.com,Male,1992-07-12,,2022-09-16,,1,,4,3,4,2,10.0
53,Raneem Helal,Raneem,Helal,raneem.helal@gmail.com,Female,1986-01-09,,2021-04-13,,0,,5,1,3,1,21.0
54,Sara Moussa,Sara,Moussa,sara.moussa@yahoo.com,Female,1990-09-23,,2025-05-14,,0,,3,3,1,2,21.0
55,Zainab Kassem,Zainab,Kassem,zainab.kassem@icloud.com,Female,1996-12-11,,2025-09-10,,1,,4,4,3,2,32.0
56,Yasin Zakhary,Yasin,Zakhary,yasin.zakhary@outlook.com,Male,1996-08-20,,2024-07-08,,0,,2,3,1,1,30.0
57,Lina Elrefaey,Lina,Elrefaey,lina.elrefaey@outlook.com,Female,1999-10-18,,2022-06-21,,1,,1,4,1,2,38.0
58,Ashraf Alaa el-Din,Ashraf,Alaa el-Din,ashraf.el-din@hotmail.com,Male,1986-01-23,,2022-05-07,,1,,2,4,2,2,38.0
59,Manal Badawy,Manal,Badawy,manal.badawy@gmail.com,Female,1980-10-17,,2023-07-05,,1,,4,1,2,2,45.0
60,Saeed El-Mahdy,Saeed,El-Mahdy,saeed.el-mahdy@outlook.com,Male,1986-08-22,,2022-08-10,,1,,3,2,3,1,6.0
61,Heba El-Masry,Heba,El-Masry,heba.el-masry@outlook.com,Female,1994-06-03,,2018-01-14,,1,,1,4,2,1,12.0
62,Mona Elmorshedy,Mona,Elmorshedy,mona.elmorshedy@yahoo.com,Female,1993-05-09,,2023-01-01,,1,,2,5,1,3,37.0
63,Shaimaa Shenouda,Shaimaa,Shenouda,shaimaa.shenouda@hotmail.com,Female,1989-03-08,,2015-02-27,,1,,1,5,3,2,34.0
64,Bakr Elzayat,Bakr,Elzayat,bakr.elzayat@icloud.com,Male,1982-02-07,,2019-12-16,,1,,1,4,2,2,45.0
65,Sameera Farag,Sameera,Farag,sameera.farag@gmail.com,Female,1996-05-19,,2017-11-21,,1,,5,4,2,1,20.0
66,Othman Theodor,Othman,Theodor,othman.theodor@yahoo.com,Male,1980-07-02,,2025-09-17,,1,,2,2,4,3,13.0
67,Nashwa Tawfik,Nashwa,Tawfik,nashwa.tawfik@hotmail.com,Female,1987-03-20,,2016-07-21,,1,,2,5,4,2,4.0
68,Kareem El-Gohary,Kareem,El-Gohary,kareem.el-gohary@hotmail.com,Male,1986-03-11,,2019-07-21,,1,,4,3,3,2,15.0
69,Yasin Abdelhalim,Yasin,Abdelhalim,yasin.abdelhalim@icloud.com,Male,1990-07-24,,2019-09-19,,1,,4,2,4,1,12.0
70,Aisha Zekry,Aisha,Zekry,aisha.zekry@yahoo.com,Female,1990-08-25,,2019-09-16,,1,,1,2,1,1,32.0
71,Abdelnabi Ibrahim,Abdelnabi,Ibrahim,abdelnabi.ibrahim@gmail.com,Male,1984-02-01,,2018-09-22,,0,,3,3,1,1,18.0
72,Kareem Nashed,Kareem,Nashed,kareem.nashed@hotmail.com,Male,1983-02-02,,2017-12-06,,1,,5,5,1,1,36.0
73,Shafik Ashraf,Shafik,Ashraf,shafik.ashraf@hotmail.com,Male,1985-04-22,,2023-07-14,,0,,5,5,4,2,43.0
74,Mamdouh Fouad,Mamdouh,Fouad,mamdouh.fouad@icloud.com,Male,1989-07-03,,2022-02-20,,1,,3,5,3,3,17.0
75,Seif El-Sebaey,Seif,El-Sebaey,seif.el-sebaey@icloud.com,Male,1999-12-20,,2021-05-11,,1,,4,1,3,2,6.0
76,Ragaa Zakaria,Ragaa,Zakaria,ragaa.zakaria@yahoo.com,Female,1996-07-14,,2019-06-18,,1,,1,1,3,2,13.0
77,Salah El-Sawy,Salah,El-Sawy,salah.el-sawy@outlook.com,Male,1987-09-11,,2017-12-17,,1,,1,2,4,2,42.0
78,Faten El-Gammal,Faten,El-Gammal,faten.el-gammal@outlook.com,Female,1986-10-10,,2016-06-16,,1,,4,2,4,2,28.0
79,Maysa Abdelmonem,Maysa,Abdelmonem,maysa.abdelmonem@icloud.com,Female,1999-10-04,,2022-02-26,,0,,5,1,3,1,48.0
80,Nouran Zayed,Nouran,Zayed,nouran.zayed@hotmail.com,Female,1983-02-12,,2025-06-07,,1,,4,4,3,3,17.0
81,Helmy Youssef,Helmy,Youssef,helmy.youssef@icloud.com,Male,1981-02-15,,2021-09-05,,1,,3,2,1,3,2.0
82,Kawkab Abraam,Kawkab,Abraam,kawkab.abraam@hotmail.com,Female,1996-02-21,,2018-08-19,,1,,5,3,2,1,16.0
83,Rasheed El-Sherbiny,Rasheed,El-Sherbiny,rasheed.el-sherbiny@outlook.com,Male,1995-05-01,,2018-07-09,,1,,4,5,3,2,16.0
84,Ali Desouki,Ali,Desouki,ali.desouki@outlook.com,Male,1997-12-13,,2025-11-12,,0,,5,4,3,1,15.0
85,Shafik Elmaghraby,Shafik,Elmaghraby,shafik.elmaghraby@icloud.com,Male,1985-07-13,,2016-03-02,,1,,5,5,1,2,33.0
86,Basma Gad,Basma,Gad,basma.gad@gmail.com,Female,1998-02-15,,2024-03-09,,0,,3,3,3,3,15.0
87,Randa Nagy,Randa,Nagy,randa.nagy@gmail.com,Female,1986-08-07,,2021-03-26,,1,,5,4,2,2,2.0
88,Gamal Nabil,Gamal,Nabil,gamal.nabil@hotmail.com,Male,1982-01-02,,2020-01-24,,1,,2,3,1,3,33.0
89,Yehia Zaghloul,Yehia,Zaghloul,yehia.zaghloul@yahoo.com,Male,1997-08-26,,2023-12-20,,0,,4,2,2,2,39.0
90,Nouran Elshenawy,Nouran,Elshenawy,nouran.elshenawy@icloud.com,Female,1980-05-07,,2018-01-22,,1,,4,3,3,1,45.0
91,Jana Shawky,Jana,Shawky,jana.shawky@yahoo.com,Female,1999-09-07,,2024-09-05,2024-10-24,1,,2,2,3,3,31.0
92,Zakaria Ibrahim,Zakaria,Ibrahim,zakaria.ibrahim@gmail.com,Male,1988-06-25,,2022-03-09,,0,,2,4,1,1,14.0
93,Maha Zarif,Maha,Zarif,maha.zarif@hotmail.com,Female,1996-10-15,,2021-10-28,,1,,5,1,4,3,18.0
94,Diaa Qassem,Diaa,Qassem,diaa.qassem@outlook.com,Male,1996-01-16,,2015-06-28,,1,,5,5,1,3,16.0
95,Nourhan El-Messiry,Nourhan,El-Messiry,nourhan.el-messiry@gmail.com,Female,1985-08-15,,2016-12-20,,1,,4,2,3,3,28.0
96,Dunya El-Nahas,Dunya,El-Nahas,dunya.el-nahas@hotmail.com,Female,1985-11-13,,2025-12-10,,1,,3,1,1,2,22.0
97,Rahaf Kassem,Rahaf,Kassem,rahaf.kassem@icloud.com,Female,1981-03-06,,2020-04-06,,1,,3,3,4,1,27.0
98,Shawky Elmaaty,Shawky,Elmaaty,shawky.elmaaty@gmail.com,Male,1997-12-06,,2021-06-23,,0,,2,4,2,3,48.0
99,Abdelmonem Elbesh,Abdelmonem,Elbesh,abdelmonem.elbesh@outlook.com,Male,1985-04-14,,2022-11-07,,1,,4,4,1,2,13.0
100,Mohamed Elsonbati,Mohamed,Elsonbati,mohamed.elsonbati@yahoo.com,Male,1982-01-06,,2021-01-14,,1,,1,2,4,3,43.0
101,Ghada Abdelsalam,Ghada,Abdelsalam,ghada.abdelsalam@icloud.com,Female,1985-05-08,,2017-09-21,,0,,5,2,4,3,48.0
102,Shady Elmaaty,Shady,Elmaaty,shady.elmaaty@icloud.com,Male,1987-10-16,,2019-03-27,,1,,5,4,3,2,18.0
103,Ehab Elbeshbishy,Ehab,Elbeshbishy,ehab.elbeshbishy@icloud.com,Male,1995-02-04,,2017-12-02,,1,,3,5,3,3,30.0
104,Ehab Saeed,Ehab,Saeed,ehab.saeed@hotmail.com,Male,1990-05-08,,2024-09-20,,1,,1,2,4,3,29.0
105,Warda Abdelmalek,Warda,Abdelmalek,warda.abdelmalek@gmail.com,Female,1993-05-21,,2021-07-24,,0,,1,1,2,1,7.0
106,Nasser Hefny,Nasser,Hefny,nasser.hefny@gmail.com,Male,1984-07-16,,2024-04-16,,0,,1,5,3,2,30.0
107,Jana Zakaria,Jana,Zakaria,jana.zakaria@icloud.com,Female,1992-08-07,,2016-10-13,,0,,2,2,4,3,30.0
108,Ahmed Abdelsayed,Ahmed,Abdelsayed,ahmed.abdelsayed@outlook.com,Male,1997-11-27,,2019-03-10,,0,,3,2,3,2,47.0
109,Farida Butros,Farida,Butros,farida.butros@yahoo.com,Female,1985-04-23,,2020-01-10,,1,,3,4,4,2,39.0
110,Dunya Hanna,Dunya,Hanna,dunya.hanna@gmail.com,Female,1983-12-25,,2025-04-19,,1,,5,3,3,3,8.0
111,Shady Abdelhalim,Shady,Abdelhalim,shady.abdelhalim@outlook.com,Male,1993-05-27,,2017-09-10,,0,,3,4,4,3,36.0
112,Wafaa Abraam,Wafaa,Abraam,wafaa.abraam@gmail.com,Female,1999-03-03,,2024-12-01,,0,,3,1,1,1,43.0
113,Hana Atiya,Hana,Atiya,hana.atiya@hotmail.com,Female,1993-05-03,,2016-05-11,,1,,4,3,2,1,29.0
114,Sameh Elbanna,Sameh,Elbanna,sameh.elbanna@hotmail.com,Male,1984-12-22,,2020-12-21,,0,,1,4,4,1,18.0
115,Hossam Elkaramany,Hossam,Elkaramany,hossam.elkaramany@outlook.com,Male,1990-03-08,,2020-06-15,,1,,2,5,2,2,3.0
116,Zayed Mekawy,Zayed,Mekawy,zayed.mekawy@gmail.com,Male,1980-12-02,,2020-03-13,2023-02-27,1,,4,4,3,2,31.0
117,Sawsan Zohny,Sawsan,Zohny,sawsan.zohny@yahoo.com,Female,1981-03-01,,2019-02-06,,1,,1,5,4,1,17.0
118,Zakaria Abdelghani,Zakaria,Abdelghani,zakaria.abdelghani@gmail.com,Male,2000-03-03,,2016-11-25,,1,,2,5,2,1,4.0
119,Iqbal El-Alfi,Iqbal,El-Alfi,iqbal.el-alfi@outlook.com,Female,1999-07-01,,2023-12-05,,0,,4,1,2,1,27.0
120,Ramy Elbaz,Ramy,Elbaz,ramy.elbaz@yahoo.com,Male,1992-09-26,,2025-08-06,,1,,5,3,4,1,38.0
121,Dunya Shawky,Dunya,Shawky,dunya.shawky@yahoo.com,Female,1998-05-20,,2023-02-15,,1,,3,5,4,1,47.0
122,Eman Wissa,Eman,Wissa,eman.wissa@outlook.com,Female,1996-12-06,,2021-09-17,,1,,1,5,2,1,19.0
123,Nourhan Zakaria,Nourhan,Zakaria,nourhan.zakaria@gmail.com,Female,1992-12-12,,2018-04-25,,0,,2,1,4,2,8.0
124,Lina Zakhary,Lina,Zakhary,lina.zakhary@hotmail.com,Female,1984-03-14,,2021-12-25,,1,,2,5,1,3,42.0
125,Abdelwahab Elwakil,Abdelwahab,Elwakil,abdelwahab.elwakil@outlook.com,Male,1993-05-24,,2016-07-24,,1,,2,5,3,3,37.0
126,Sara Dawood,Sara,Dawood,sara.dawood@icloud.com,Female,1981-07-13,,2021-07-06,,0,,4,5,2,3,22.0
127,Abdullah Fouad,Abdullah,Fouad,abdullah.fouad@hotmail.com,Male,1990-11-18,,2021-07-11,,1,,4,1,1,2,23.0
128,Hany Wagih,Hany,Wagih,hany.wagih@hotmail.com,Male,1995-12-26,,2022-01-23,,0,,3,3,2,2,45.0
129,Jana El-Alfi,Jana,El-Alfi,jana.el-alfi@gmail.com,Female,2000-01-25,,2025-02-07,,1,,1,4,4,1,14.0
130,Nada Zayan,Nada,Zayan,nada.zayan@gmail.com,Female,1995-02-20,,2018-08-13,,0,,1,3,4,2,26.0
131,Ramy Mina,Ramy,Mina,ramy.mina@yahoo.com,Male,1988-08-03,,2019-05-13,,1,,4,3,4,1,28.0
132,Nashwa Elbesh,Nashwa,Elbesh,nashwa.elbesh@hotmail.com,Female,1988-02-09,,2018-05-12,,0,,3,1,3,1,22.0
133,Yasin El-Gohary,Yasin,El-Gohary,yasin.el-gohary@yahoo.com,Male,1982-06-25,,2025-04-28,,1,,2,1,4,1,13.0
134,Malak Mikhael,Malak,Mikhael,malak.mikhael@yahoo.com,Female,1980-10-28,,2019-03-07,,0,,4,2,2,3,23.0
135,Maysa Elzomor,Maysa,Elzomor,maysa.elzomor@yahoo.com,Female,1988-10-06,,2024-11-20,,1,,2,3,4,3,50.0
136,Intisar Zayan,Intisar,Zayan,intisar.zayan@hotmail.com,Female,1989-01-10,,2015-03-11,,0,,2,5,4,1,24.0
137,Malak Rizk,Malak,Rizk,malak.rizk@icloud.com,Female,1999-08-14,,2017-01-05,,1,,1,3,4,2,37.0
138,Sameera El-Tabei,Sameera,El-Tabei,sameera.el-tabei@yahoo.com,Female,1998-10-15,,2015-11-16,,0,,3,4,2,3,22.0
139,Layan George,Layan,George,layan.george@hotmail.com,Female,1986-01-16,,2017-04-01,,0,,3,4,3,1,41.0
140,Salma Elmorsi,Salma,Elmorsi,salma.elmorsi@yahoo.com,Female,1984-01-19,,2025-05-03,,0,,3,3,2,3,15.0
141,Tawfik Elwakil,Tawfik,Elwakil,tawfik.elwakil@gmail.com,Male,1994-11-06,,2017-07-08,,1,,2,3,2,2,3.0
142,Sara El-Messiry,Sara,El-Messiry,sara.el-messiry@icloud.com,Female,1991-04-03,,2020-12-13,,0,,4,5,3,3,37.0
143,Shaimaa Farag,Shaimaa,Farag,shaimaa.farag@outlook.com,Female,1995-04-08,,2016-04-27,,1,,3,4,3,2,8.0
144,Hassan Moussa,Hassan,Moussa,hassan.moussa@yahoo.com,Male,1993-07-10,,2019-09-03,2025-05-14,1,,2,2,2,3,33.0
145,Abdullah Zarif,Abdullah,Zarif,abdullah.zarif@icloud.com,Male,1985-06-01,,2019-07-05,,0,,5,1,4,2,38.0
146,Moustafa Sayed,Moustafa,Sayed,moustafa.sayed@hotmail.com,Male,1989-07-09,,2022-08-02,,0,,4,4,3,1,9.0
147,Mounir Gad,Mounir,Gad,mounir.gad@outlook.com,Male,1988-09-19,,2016-09-26,,1,,4,4,3,1,31.0
148,Saad Abdelhameed,Saad,Abdelhameed,saad.abdelhameed@outlook.com,Male,2000-01-15,,2025-01-17,,0,,3,2,4,3,40.0
149,Jana Elmaaty,Jana,Elmaaty,jana.elmaaty@icloud.com,Female,1993-08-03,,2023-05-21,2024-05-05,1,,1,1,1,2,42.0
150,Randa Alaa el-Din,Randa,Alaa el-Din,randa.el-din@gmail.com,Female,1985-08-08,,2019-09-26,,1,,3,2,3,2,50.0
151,Ramy Elhaddad,Ramy,Elhaddad,ramy.elhaddad@icloud.com,Male,1982-09-18,,2024-07-07,,1,,4,4,1,3,28.0
152,Sami Atiya,Sami,Atiya,sami.atiya@yahoo.com,Male,1991-03-13,,2025-05-13,,1,,3,4,4,1,20.0
153,Fathy Zakaria,Fathy,Zakaria,fathy.zakaria@gmail.com,Male,1988-05-23,,2015-11-08,,0,,2,3,2,2,26.0
154,Asmaa Wagdy,Asmaa,Wagdy,asmaa.wagdy@outlook.com,Female,1985-05-09,,2015-08-02,,1,,2,5,2,3,4.0
155,Dunya Zohny,Dunya,Zohny,dunya.zohny@hotmail.com,Female,1984-11-19,,2021-09-18,,1,,5,4,1,1,23.0
156,Mervat Tawfik,Mervat,Tawfik,mervat.tawfik@gmail.com,Female,1999-05-28,,2015-05-16,,1,,3,3,2,3,48.0
157,Abdelnabi Nassar,Abdelnabi,Nassar,abdelnabi.nassar@gmail.com,Male,2000-01-14,,2015-03-11,,0,,1,5,2,2,37.0
158,Zahra Zayed,Zahra,Zayed,zahra.zayed@gmail.com,Female,1997-03-24,,2015-10-12,,1,,2,3,3,3,30.0
159,Wafaa El-Gammal,Wafaa,El-Gammal,wafaa.el-gammal@outlook.com,Female,1993-04-22,,2021-02-16,,0,,1,4,3,3,26.0
160,Noor El-Sebaey,Noor,El-Sebaey,noor.el-sebaey@gmail.com,Female,1985-03-07,,2016-01-20,,1,,3,2,1,3,22.0
161,Nourhan Saad,Nourhan,Saad,nourhan.saad@outlook.com,Female,1992-07-28,,2021-05-23,,1,,3,5,4,3,46.0
162,Rashad Desouki,Rashad,Desouki,rashad.desouki@gmail.com,Male,1984-03-22,,2018-04-10,,1,,1,5,2,1,29.0
163,Naguib El-Omari,Naguib,El-Omari,naguib.el-omari@yahoo.com,Male,2000-04-14,,2015-03-27,,1,,3,4,2,1,38.0
164,Zeina Abdelghani,Zeina,Abdelghani,zeina.abdelghani@icloud.com,Female,1989-06-02,,2015-04-08,,1,,1,3,3,2,50.0
165,Amal Morsy,Amal,Morsy,amal.morsy@hotmail.com,Female,1995-06-20,,2021-07-26,,1,,3,3,4,3,24.0
166,Sharif Wassef,Sharif,Wassef,sharif.wassef@icloud.com,Male,1993-06-05,,2020-10-22,,1,,1,1,4,2,26.0
167,Sara Abdelnabi,Sara,Abdelnabi,sara.abdelnabi@outlook.com,Female,1982-05-09,,2018-08-18,,1,,2,2,3,3,1.0
168,Maysa Zakaria,Maysa,Zakaria,maysa.zakaria@yahoo.com,Female,1983-09-27,,2021-10-06,,1,,4,1,3,2,29.0
169,Abdelhamid Zeidan,Abdelhamid,Zeidan,abdelhamid.zeidan@yahoo.com,Male,1989-01-22,,2015-03-23,,1,,1,1,2,2,33.0
170,Rizk Nagy,Rizk,Nagy,rizk.nagy@yahoo.com,Male,2000-05-04,,2015-06-27,,1,,4,5,3,1,11.0
171,Zeina Nabil,Zeina,Nabil,zeina.nabil@hotmail.com,Female,1990-11-12,,2020-10-21,,1,,1,1,4,3,39.0
172,Nadia Ragab,Nadia,Ragab,nadia.ragab@hotmail.com,Female,1984-09-16,,2025-11-08,,1,,3,3,1,2,50.0
173,Inas George,Inas,George,inas.george@icloud.com,Female,1993-10-26,,2017-02-10,,0,,1,1,4,3,1.0
174,Bakr Yacoub,Bakr,Yacoub,bakr.yacoub@hotmail.com,Male,1988-02-10,,2021-10-03,,0,,2,4,3,2,13.0
175,Farida Takla,Farida,Takla,farida.takla@yahoo.com,Female,1990-08-12,,2024-10-26,,1,,5,5,2,1,35.0
176,Azza Labib,Azza,Labib,azza.labib@hotmail.com,Female,2000-09-25,,2022-12-26,,1,,2,3,1,3,8.0
177,Karim Atiya,Karim,Atiya,karim.atiya@outlook.com,Male,1993-09-09,,2019-02-09,,1,,4,2,3,1,46.0
178,Samy Abdelmalek,Samy,Abdelmalek,samy.abdelmalek@hotmail.com,Male,1999-10-28,,2019-12-10,,1,,3,4,4,2,38.0
179,Nayera Elgindy,Nayera,Elgindy,nayera.elgindy@outlook.com,Female,1988-03-27,,2018-06-08,,1,,5,1,2,1,48.0
180,Rawan Elghobashy,Rawan,Elghobashy,rawan.elghobashy@gmail.com,Female,1983-02-13,,2017-07-06,,0,,2,4,2,1,14.0
181,Iqbal Haggag,Iqbal,Haggag,iqbal.haggag@outlook.com,Female,1984-08-09,,2019-02-02,,1,,2,1,2,3,46.0
182,Doaa Elgammal,Doaa,Elgammal,doaa.elgammal@yahoo.com,Female,1987-09-23,,2022-09-22,,1,,5,4,2,1,35.0
183,Abdelhamid Zayed,Abdelhamid,Zayed,abdelhamid.zayed@hotmail.com,Male,1991-10-09,,2021-10-03,,1,,4,4,4,3,25.0
184,Zubaida Fathy,Zubaida,Fathy,zubaida.fathy@outlook.com,Female,1988-09-03,,2025-09-13,,1,,1,2,4,2,23.0
185,Gamal Elmansy,Gamal,Elmansy,gamal.elmansy@gmail.com,Male,1984-10-06,,2015-01-07,,1,,2,2,2,2,4.0
186,Fawzia Gamil,Fawzia,Gamil,fawzia.gamil@outlook.com,Female,1982-06-22,,2020-09-04,,1,,3,1,2,1,50.0
187,Zain Nasr,Zain,Nasr,zain.nasr@gmail.com,Male,1984-07-02,,2022-06-28,,1,,3,4,2,3,35.0
188,Safia El-Mohandes,Safia,El-Mohandes,safia.el-mohandes@outlook.com,Female,1986-12-05,,2017-04-19,,1,,5,4,1,2,49.0
189,Abdelaziz El-Omari,Abdelaziz,El-Omari,abdelaziz.el-omari@hotmail.com,Male,1980-07-22,,2021-01-12,,1,,4,4,4,1,34.0
190,Saad Elkafrawy,Saad,Elkafrawy,saad.elkafrawy@icloud.com,Male,1994-03-03,,2015-01-19,2015-10-22,1,,2,1,2,2,25.0
191,Lina Abu Zeid,Lina,Abu Zeid,lina.zeid@icloud.com,Female,1980-11-07,,2017-07-01,,1,,2,4,4,2,14.0
192,Tamer Zayed,Tamer,Zayed,tamer.zayed@outlook.com,Male,2000-07-04,,2017-03-11,,1,,3,3,4,2,18.0
